#{"t_start": 1635498524.893703, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
-50.0,50,5.229465
-50.0,50,6.998038
-50.0,50,9.000898
-50.0,50,11.55397
-50.0,50,15.155072
-50.0,50,19.709361
-50.0,50,25.240862
0.0,1,25.470042
-50.0,50,31.42558
-50.0,50,37.895983
-50.0,50,42.850386
-50.0,50,47.999316
-50.0,50,54.597906
-50.0,50,61.450775
-50.0,50,67.749837
-50.0,50,73.268646
-50.0,50,79.695794
0.0,1,79.843604
-50.0,50,84.955095
-50.0,50,91.116588
-50.0,50,97.651174
-50.0,50,103.763155
-50.0,50,114.272332
-50.0,50,119.998234
-50.0,50,126.049892
-50.0,50,132.277598
-7.0,8,133.496116
-50.0,50,139.33376
-50.0,50,144.055321
-50.0,50,148.669297
-50.0,50,153.639704
0.0,1,153.731877
-50.0,50,157.811398
-50.0,50,163.605211
-50.0,50,169.793285
-50.0,50,175.655811
-50.0,50,181.654611
-50.0,50,187.865194
-50.0,50,192.108264
-50.0,50,198.229572
-50.0,50,204.508791
-50.0,50,209.440454
-50.0,50,215.382772
-11.0,12,216.75997
-50.0,50,222.895729
-50.0,50,234.404703
0.0,1,234.522898
0.0,1,234.635113
-8.0,9,235.488924
-1.0,2,235.670065
-50.0,50,241.172633
-50.0,50,247.298999
-50.0,50,253.443553
-4.0,5,253.759957
-50.0,50,258.604009
-50.0,50,265.037116
-50.0,50,270.973278
-50.0,50,276.092557
-50.0,50,281.246428
-50.0,50,286.960814
-50.0,50,291.714864
-50.0,50,297.295367
-50.0,50,302.288175
-50.0,50,306.778014
-50.0,50,311.827375
0.0,1,311.928014
-50.0,50,317.176586
-50.0,50,322.745067
-50.0,50,328.106054
-50.0,50,334.733639
-50.0,50,340.86023
-50.0,50,351.980889
-50.0,50,358.735009
-50.0,50,365.400848
-50.0,50,371.391466
-50.0,50,375.899181
-50.0,50,381.923073
0.0,1,382.05782
-50.0,50,388.44805
-50.0,50,395.534693
-50.0,50,401.890464
-50.0,50,408.04592
-50.0,50,414.511145
-50.0,50,421.58752
-50.0,50,427.694169
-50.0,50,434.134594
-10.0,11,435.557544
0.0,1,435.691347
-50.0,50,441.784946
-50.0,50,447.911863
-50.0,50,454.158878
-50.0,50,460.22036
-50.0,50,465.997586
0.0,1,466.103835
-50.0,50,472.032449
-50.0,50,483.610425
-50.0,50,489.476998
-50.0,50,496.075389
0.0,1,496.198379
-50.0,50,502.321196
-50.0,50,508.030007
-50.0,50,512.416247
-50.0,50,517.258176
-50.0,50,522.027283
-50.0,50,528.064221
0.0,1,528.236216
-50.0,50,534.161068
-50.0,50,540.697794
-50.0,50,546.30711
-50.0,50,552.315845
-50.0,50,557.535557
-50.0,50,564.007437
-50.0,50,570.819352
-50.0,50,576.512496
-50.0,50,581.995888
0.0,1,582.098016
-50.0,50,589.224314
-50.0,50,594.442769
0.0,1,594.529119
-50.0,50,599.717193
-50.0,50,611.13976
-50.0,50,617.219156
-50.0,50,623.013926
-50.0,50,629.331411
0.0,1,629.460516
-3.0,4,629.90325
-50.0,50,636.120119
0.0,1,636.277501
-50.0,50,642.723072
-50.0,50,648.791969
-50.0,50,654.942529
0.0,1,655.07963
-50.0,50,661.136054
-50.0,50,666.855924
-50.0,50,672.516539
-50.0,50,677.863921
-50.0,50,683.331211
-50.0,50,688.493562
-50.0,50,693.843883
-50.0,50,699.159199
-50.0,50,703.697712
-50.0,50,708.682252
-50.0,50,714.788795
-50.0,50,721.544318
-50.0,50,733.214043
-50.0,50,738.474342
-50.0,50,745.110973
-50.0,50,751.337521
-50.0,50,757.289655
-50.0,50,763.746537
-50.0,50,769.509506
-50.0,50,774.981551
-50.0,50,779.519598
0.0,1,779.595475
-50.0,50,784.464908
-50.0,50,788.956359
-50.0,50,794.780281
-50.0,50,800.69793
-50.0,50,806.601629
-50.0,50,812.195708
-50.0,50,818.163306
-50.0,50,824.635246
-50.0,50,831.236252
-50.0,50,838.118475
-50.0,50,844.617438
-50.0,50,850.967726
-14.0,15,857.689643
-2.0,3,858.16672
-50.0,50,864.028652
-50.0,50,869.631121
-50.0,50,874.525108
0.0,1,874.60533
-50.0,50,878.085517
-50.0,50,883.971282
-50.0,50,889.905132
-50.0,50,895.71417
-50.0,50,900.263207
-50.0,50,905.401721
-18.0,19,907.855623
-50.0,50,913.941052
-50.0,50,920.511242
-50.0,50,927.203523
-50.0,50,933.296315
-50.0,50,938.809782
0.0,1,938.942582
-50.0,50,945.104999
-50.0,50,950.817243
0.0,1,950.998612
-50.0,50,957.525525
-50.0,50,962.664594
-50.0,50,968.471267
-50.0,50,978.388978
-50.0,50,984.543732
-50.0,50,990.792256
-50.0,50,996.297394
-50.0,50,1001.495563
-50.0,50,1006.57267
0.0,1,1006.675473
-50.0,50,1011.770956
-50.0,50,1017.2128
-50.0,50,1021.95769
-50.0,50,1028.011408
-50.0,50,1034.560879
-50.0,50,1040.461532
-50.0,50,1045.090454
-50.0,50,1050.732296
-50.0,50,1055.546218
-50.0,50,1061.246766
-50.0,50,1065.934968
-50.0,50,1071.815346
-50.0,50,1076.713369
-7.0,8,1077.561421
-50.0,50,1083.288049
-50.0,50,1094.353585
-50.0,50,1101.445254
-50.0,50,1107.728801
-50.0,50,1113.140673
-50.0,50,1118.735571
-50.0,50,1125.354584
-50.0,50,1132.099759
-50.0,50,1139.029347
-50.0,50,1145.990974
-50.0,50,1151.621328
-50.0,50,1157.226192
-50.0,50,1164.301881
-50.0,50,1170.898072
-50.0,50,1177.878143
-50.0,50,1184.034229
-50.0,50,1189.826882
-50.0,50,1195.711497
-50.0,50,1201.159225
-50.0,50,1206.736267
-50.0,50,1212.065561
-50.0,50,1217.783594
-50.0,50,1229.646708
-50.0,50,1235.622488
-50.0,50,1241.485475
-50.0,50,1246.715343
-50.0,50,1253.041673
-50.0,50,1259.929698
-50.0,50,1266.667636
-50.0,50,1273.795018
-50.0,50,1279.372128
-50.0,50,1283.406342
-50.0,50,1288.76871
0.0,1,1288.865442
-50.0,50,1295.481844
-50.0,50,1300.797191
-50.0,50,1306.631411
-50.0,50,1312.04523
-50.0,50,1316.398427
-50.0,50,1320.620083
-50.0,50,1325.871436
-50.0,50,1331.536025
-50.0,50,1337.943391
-50.0,50,1348.844326
-14.0,15,1351.063647
-50.0,50,1357.105152
-50.0,50,1363.236849
-50.0,50,1369.289078
-50.0,50,1374.186534
-50.0,50,1378.880722
-50.0,50,1384.252769
-50.0,50,1389.312686
0.0,1,1389.391243
-50.0,50,1394.682451
-50.0,50,1401.398268
0.0,1,1401.543595
-8.0,9,1402.543203
-50.0,50,1408.391784
-50.0,50,1414.162592
-50.0,50,1418.944335
-50.0,50,1423.30393
-50.0,50,1428.031461
-50.0,50,1433.15389
-50.0,50,1438.988572
-50.0,50,1445.417818
-50.0,50,1451.277309
-50.0,50,1456.852637
-50.0,50,1467.749335
-50.0,50,1473.716543
-50.0,50,1478.626754
-50.0,50,1483.385978
-50.0,50,1488.838887
-50.0,50,1493.908704
-50.0,50,1498.037393
-50.0,50,1503.554559
-50.0,50,1508.473447
-50.0,50,1512.723397
0.0,1,1512.82175
-50.0,50,1517.474895
-50.0,50,1523.557735
-50.0,50,1529.94203
-50.0,50,1535.603177
-50.0,50,1540.978656
-50.0,50,1545.971846
-50.0,50,1552.00825
-50.0,50,1557.917295
-50.0,50,1563.66056
-50.0,50,1570.575941
-7.0,8,1571.411542
-50.0,50,1577.486072
-50.0,50,1588.634392
-19.0,20,1590.402553
-50.0,50,1595.225272
-50.0,50,1599.081985
-50.0,50,1604.407127
-50.0,50,1610.992592
-50.0,50,1617.467314
-50.0,50,1622.917308
-50.0,50,1628.481478
-50.0,50,1634.401785
0.0,1,1634.531174
-50.0,50,1640.904271
-50.0,50,1645.67873
-50.0,50,1651.036205
-50.0,50,1656.555057
-50.0,50,1660.92072
-50.0,50,1663.995161
-50.0,50,1669.207496
-50.0,50,1674.112316
-50.0,50,1679.722811
-50.0,50,1684.971282
-50.0,50,1690.175813
