#{"t_start": 1634651956.359548, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
9.909789,50,1.318696
9.401434,50,1.885968
10.13136,50,2.406479
8.737779,50,2.969251
9.778632,50,3.586843
9.101813,50,4.202126
9.402155,50,4.900289
9.034532,50,5.634321
9.035846,50,6.400184
10.388267,50,7.237533
9.879239,50,8.179072
9.617237,50,9.038406
9.475872,50,9.955099
9.985566,50,11.090714
10.135952,50,12.04844
8.727664,50,13.099195
10.168838,50,14.208871
8.247717,50,15.474457
10.55477,50,16.516001
9.280578,50,17.498578
8.823904,50,18.624783
9.379246,50,19.706979
9.89507,50,20.80004
9.484379,50,21.812392
9.763934,50,22.988657
9.247748,50,24.07962
2.134127,8,24.323812
10.912713,50,25.499722
9.408731,50,26.591482
10.16072,50,27.705627
9.194975,50,28.574268
9.67187,50,29.479664
10.084906,50,30.306371
9.305818,50,31.195313
9.688215,50,32.126225
10.276416,50,33.091935
8.255531,50,34.136668
9.944077,50,35.202545
9.124329,50,36.310432
10.161896,50,37.677329
10.027518,50,38.802552
9.938931,50,39.755491
0.175606,1,39.776241
8.327203,50,40.925291
9.81924,50,42.128812
10.153433,50,43.466237
9.724752,50,44.69551
9.551874,50,45.858549
9.386156,50,46.886566
10.58889,50,48.06085
9.890224,50,49.959994
6.264074,50,51.284434
10.139608,50,52.366608
8.632616,50,53.663408
9.252227,50,54.974669
10.121003,50,56.141259
10.158944,50,57.232891
10.159002,50,58.533282
9.789511,50,59.894319
8.752516,50,61.047844
9.352921,50,62.130723
5.890935,50,63.233543
9.433785,50,64.380268
9.482571,50,65.600662
10.354995,50,66.836181
11.329132,50,67.9635
9.014053,50,69.102011
10.610877,50,70.407614
8.541641,50,71.666376
9.437584,50,72.795611
5.127231,50,74.102546
10.253024,50,75.199836
9.700293,50,76.333461
9.223845,50,77.59393
0.225213,1,77.632627
9.875854,50,79.118623
5.351279,50,80.622103
9.554787,50,81.777497
9.340695,50,83.324341
10.296028,50,84.627104
9.536452,50,85.784087
10.427572,50,87.065553
9.633364,50,88.458899
10.544617,50,89.628314
10.768266,50,107.256384
9.979774,50,108.488963
8.642016,50,109.697032
9.172021,50,110.904861
10.368165,50,112.015146
5.324921,50,113.126485
10.623732,50,114.34464
9.522842,50,115.675565
9.280146,50,116.908123
10.416464,50,117.995006
8.625458,50,119.181263
9.875454,50,120.367905
9.781286,50,121.443816
10.461653,50,122.660167
10.135134,50,123.896691
10.617876,50,125.195781
9.85783,50,126.532027
9.515951,50,127.677898
9.847167,50,128.855064
9.80333,50,129.992652
10.229762,50,131.21727
10.422174,50,132.415739
10.282259,50,133.584851
10.063408,50,134.763434
10.403429,50,136.472021
10.422796,50,137.877634
10.612872,50,139.074833
8.424477,50,140.604187
9.363778,50,141.978584
9.095181,50,143.158873
10.11503,50,144.448134
10.158438,50,146.014841
8.935315,50,147.320441
3.381677,50,148.509384
8.24021,50,149.615143
9.739432,50,150.811479
8.408811,50,152.159541
10.399996,50,153.433511
10.486353,50,154.762918
9.677051,50,155.986269
7.873777,50,157.270402
10.06788,50,158.493093
9.717691,50,159.746338
10.677236,50,160.988551
9.717274,50,162.259236
9.200328,50,163.38798
9.906859,50,164.723394
12.201709,50,166.313848
10.108519,50,167.675572
9.945862,50,169.156101
9.547675,50,170.54034
10.065482,50,171.81044
10.479443,50,173.146732
10.221662,50,174.409966
11.109107,50,175.523081
9.584512,50,176.823161
6.924363,50,178.177861
10.310383,50,179.625802
10.858231,50,181.038361
10.108735,50,182.263512
9.386017,50,183.766012
7.988921,50,184.994934
9.781275,50,186.239082
7.654542,50,187.656471
10.104675,50,188.793784
0.223985,1,188.811573
9.892529,50,190.074772
9.953813,50,191.387849
10.055825,50,193.716588
10.850825,50,195.224718
9.888741,50,196.556603
9.956741,50,197.736232
10.011697,50,199.017971
10.284136,50,200.181431
10.787188,50,201.480332
10.348985,50,202.711418
9.264122,50,204.094535
9.31148,50,205.488865
9.610141,50,206.718982
9.803458,50,208.225767
10.646018,50,209.870195
10.658059,50,211.52379
2.514186,11,211.786911
9.896811,50,213.454709
9.160417,50,231.845983
9.423153,50,233.134712
9.677038,50,234.390727
9.506949,50,235.90821
9.906096,50,237.199674
9.823357,50,238.488625
10.67748,50,239.793421
13.301525,50,240.991321
9.280381,50,242.130454
10.168502,50,243.638685
10.358037,50,244.821117
10.671169,50,246.064675
0.191274,1,246.089219
9.885004,50,247.312341
11.926089,50,248.597418
9.670847,50,249.943449
10.094759,50,251.167542
9.508855,50,252.52218
10.561729,50,253.920358
9.942507,50,255.245688
10.82924,50,256.458622
10.748635,50,257.6735
10.232208,50,259.019669
9.669302,50,260.418577
9.55523,50,261.793752
9.380229,50,263.144978
9.978785,50,264.652413
9.634184,50,265.99893
9.09385,50,267.257736
10.72523,50,268.438986
9.798942,50,269.718613
9.564926,50,271.171984
9.636271,50,272.432059
10.129776,50,273.65196
10.004934,50,274.963743
9.396645,50,276.396329
9.960723,50,277.79193
7.928377,50,279.193521
8.356399,37,280.263441
9.845541,50,281.574035
9.849351,50,282.979609
10.217225,50,284.260634
