#{"t_start": 1634652181.7442942, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
-50.0,50,0.947887
-50.0,50,1.488353
-50.0,50,2.021541
-50.0,50,2.601368
-50.0,50,3.222781
-50.0,50,3.902549
-50.0,50,4.686426
-50.0,50,5.561775
-50.0,50,6.358803
-50.0,50,7.289922
-50.0,50,8.23789
-50.0,50,9.192877
-50.0,50,10.018231
-50.0,50,11.21496
-50.0,50,12.10185
-50.0,50,13.019008
-50.0,50,14.021559
-50.0,50,14.939768
-50.0,50,15.859326
-50.0,50,16.826834
-50.0,50,17.991433
-50.0,50,18.978072
-50.0,50,19.919339
-50.0,50,20.82185
-50.0,50,22.084551
-50.0,50,23.130249
-50.0,50,24.042717
-50.0,50,24.973032
-50.0,50,26.0481
-50.0,50,27.076117
-50.0,50,28.078457
-50.0,50,29.045908
-50.0,50,30.079248
-50.0,50,31.033505
-50.0,50,32.091645
-50.0,50,33.030916
-50.0,50,34.031207
-50.0,50,34.954877
-50.0,50,35.910122
-50.0,50,36.850146
-50.0,50,37.897991
-50.0,50,38.95198
-50.0,50,39.994393
-50.0,50,41.048371
-50.0,50,42.034132
0.0,1,42.067128
-50.0,50,43.367159
-50.0,50,44.511412
-50.0,50,45.908142
-50.0,50,47.004498
-50.0,50,48.297022
-50.0,50,49.563326
-50.0,50,50.754097
-50.0,50,51.763364
-50.0,50,52.935606
-50.0,50,54.27014
-50.0,50,55.310534
-50.0,50,56.416536
-50.0,50,57.603046
-50.0,50,58.925711
-50.0,50,60.019578
-50.0,50,61.174989
-50.0,50,62.279206
-50.0,50,63.409214
-50.0,50,64.408972
-50.0,50,65.545179
-50.0,50,66.74791
-50.0,50,68.217141
-50.0,50,69.599473
-50.0,50,70.714897
-50.0,50,71.985974
-50.0,50,73.064094
-50.0,50,74.281179
-50.0,50,75.679091
-50.0,50,76.922832
-50.0,50,78.458915
-50.0,50,79.862709
-50.0,50,81.280283
-50.0,50,82.425894
-50.0,50,83.608991
-50.0,50,84.818738
-50.0,50,85.996744
-50.0,50,102.658351
-50.0,50,104.220352
-50.0,50,105.533912
-50.0,50,106.91426
-50.0,50,108.183612
-50.0,50,109.807501
-50.0,50,110.912145
-50.0,50,112.224931
-50.0,50,113.4363
-37.0,38,114.502952
-50.0,50,115.854886
-50.0,50,116.973223
-50.0,50,118.209727
-50.0,50,119.684004
-50.0,50,121.151122
-50.0,50,122.684134
-50.0,50,124.019498
-50.0,50,125.227515
-50.0,50,126.526958
-50.0,50,127.63429
-50.0,50,128.90866
-50.0,50,130.267218
-50.0,50,131.733908
-50.0,50,133.182631
-50.0,50,134.65215
-50.0,50,135.849207
-50.0,50,137.350809
-50.0,50,138.643229
-50.0,50,140.019307
-50.0,50,141.140203
-50.0,50,142.497698
-50.0,50,143.833931
-50.0,50,145.407193
-50.0,50,146.810072
-50.0,50,148.33763
-50.0,50,149.611023
-50.0,50,151.083748
-50.0,50,152.295906
-50.0,50,153.6783
-50.0,50,154.964381
-50.0,50,156.312298
-50.0,50,157.63571
-50.0,50,158.891528
-50.0,50,160.017832
-50.0,50,161.232763
-50.0,50,162.600838
-50.0,50,163.781425
0.0,1,163.802345
-50.0,50,165.24425
-50.0,50,166.46117
0.0,1,166.493334
-50.0,50,167.735346
-50.0,50,169.140718
-50.0,50,170.354594
-50.0,50,171.571421
-50.0,50,172.827512
-50.0,50,174.063323
-50.0,50,175.394252
-50.0,50,176.622602
-50.0,50,178.183295
-50.0,50,179.47353
-50.0,50,180.801728
-50.0,50,181.98604
-50.0,50,183.386278
-50.0,50,184.916659
-50.0,50,186.331177
-50.0,50,187.787097
-50.0,50,189.295586
-12.0,13,189.700087
-50.0,50,191.06054
-50.0,50,192.272868
-50.0,50,193.455293
-50.0,50,194.652409
-50.0,50,196.003091
-50.0,50,197.154109
-50.0,50,198.518838
-50.0,50,199.75775
-50.0,50,201.19915
-50.0,50,202.46508
-50.0,50,203.777619
-50.0,50,205.081776
-50.0,50,206.230144
-50.0,50,207.64454
-50.0,50,209.16308
-50.0,50,210.482338
-50.0,50,226.549702
-50.0,50,228.056365
-50.0,50,229.359179
-50.0,50,230.662695
-50.0,50,232.17704
-50.0,50,233.534252
-50.0,50,234.785573
-50.0,50,236.042996
-50.0,50,237.391045
-50.0,50,238.650536
-50.0,50,240.106639
-50.0,50,241.306925
-50.0,50,242.587456
-50.0,50,243.866324
-50.0,50,245.251302
-50.0,50,246.875506
-50.0,50,248.234022
-50.0,50,249.591548
-50.0,50,251.194854
-50.0,50,252.500374
-50.0,50,254.030686
-50.0,50,255.485301
-50.0,50,256.997285
-50.0,50,258.272398
-50.0,50,259.714312
-50.0,50,261.287525
-50.0,50,262.711505
-50.0,50,264.212204
-50.0,50,265.612018
-50.0,50,267.020097
-50.0,50,268.411838
-50.0,50,269.688772
-50.0,50,271.010324
-50.0,50,272.498331
-50.0,50,273.906068
-50.0,50,275.188408
-50.0,50,276.526724
-50.0,50,277.889748
-50.0,50,279.298097
-50.0,50,280.551661
-50.0,50,281.951207
-50.0,50,283.291608
-50.0,50,284.621534
-50.0,50,286.085276
-50.0,50,287.399814
-50.0,50,288.817742
-50.0,50,290.173115
-50.0,50,291.631111
-50.0,50,293.147554
-50.0,50,294.686221
-50.0,50,296.077746
-50.0,50,297.471211
-50.0,50,298.768916
-50.0,50,300.25888
-50.0,50,301.73402
-50.0,50,303.058092
-50.0,50,304.724187
-50.0,50,306.385227
-50.0,50,307.758688
-50.0,50,309.075524
-50.0,50,310.322717
-50.0,50,311.802766
-50.0,50,313.212323
-50.0,50,314.804929
-50.0,50,316.115945
-50.0,50,317.504926
-50.0,50,318.782726
-50.0,50,320.4356
-50.0,50,321.861848
-50.0,50,323.133508
-50.0,50,324.524338
-50.0,50,325.997804
0.0,1,326.029367
-50.0,50,327.40332
-50.0,50,328.690094
-50.0,50,329.933684
-50.0,50,331.337943
-50.0,50,332.692665
-50.0,50,334.057965
-50.0,50,335.526438
-50.0,50,336.861638
-50.0,50,338.125328
-50.0,50,339.539494
-50.0,50,356.196187
-50.0,50,357.462105
-50.0,50,358.918297
-50.0,50,360.279179
-50.0,50,361.697485
-50.0,50,363.152405
-50.0,50,364.577902
-50.0,50,365.962335
-50.0,50,367.292055
-50.0,50,368.660778
-50.0,50,369.866724
-50.0,50,371.178638
-50.0,50,372.64732
-50.0,50,373.864397
-50.0,50,375.144691
0.0,1,375.197205
-50.0,50,376.681373
-50.0,50,378.298795
-50.0,50,379.603976
-50.0,50,381.223422
0.0,1,381.277601
-50.0,50,382.754981
-50.0,50,383.950563
-50.0,50,385.355353
-50.0,50,386.776186
-50.0,50,388.116481
-50.0,50,389.523268
-50.0,50,390.786117
-50.0,50,392.053483
-50.0,50,393.617131
-50.0,50,394.958927
-50.0,50,396.332339
-50.0,50,397.639007
-50.0,50,399.173522
-50.0,50,400.56799
-50.0,50,402.123568
-50.0,50,403.590746
-50.0,50,404.981634
-50.0,50,406.472159
-50.0,50,408.040426
-50.0,50,409.341878
-50.0,50,410.741087
-50.0,50,411.971841
-50.0,50,413.360804
-50.0,50,414.611557
-50.0,50,415.953801
-50.0,50,417.381474
-50.0,50,418.706061
-50.0,50,420.052001
-50.0,50,421.61729
-50.0,50,422.92014
-50.0,50,424.190263
-50.0,50,425.58532
-50.0,50,426.983167
-50.0,50,428.480654
-50.0,50,430.118976
-50.0,50,431.547532
-50.0,50,432.949053
-50.0,50,434.367158
-50.0,50,435.667058
-50.0,50,437.052623
-50.0,50,438.581475
-50.0,50,439.907168
-50.0,50,441.405008
-50.0,50,442.915063
-50.0,50,444.23165
-50.0,50,445.738098
-50.0,50,447.14489
-50.0,50,448.519417
-50.0,50,449.953011
-50.0,50,451.427122
-50.0,50,452.864524
-50.0,50,454.437143
-50.0,50,455.759875
-50.0,50,457.067565
-50.0,50,458.476202
-50.0,50,460.022366
-50.0,50,461.731828
-50.0,50,463.176456
-50.0,50,464.779546
-50.0,50,466.244512
-50.0,50,467.811692
0.0,1,467.834573
-50.0,50,469.416382
-50.0,50,470.929114
-50.0,50,487.737906
-50.0,50,489.208491
-50.0,50,490.521405
-50.0,50,491.891335
-50.0,50,493.320521
-50.0,50,494.854125
-50.0,50,496.25132
-50.0,50,497.723716
-50.0,50,499.193181
-50.0,50,500.645264
-13.0,14,501.049824
-50.0,50,502.363639
-50.0,50,503.722849
-50.0,50,505.282886
-50.0,50,506.845648
-50.0,50,508.46719
-50.0,50,509.955714
-50.0,50,511.519339
-50.0,50,513.086113
0.0,1,513.125498
-50.0,50,514.613689
-50.0,50,516.022411
-50.0,50,517.605345
-50.0,50,518.931708
-50.0,50,520.342944
-50.0,50,521.833301
-50.0,50,523.2514
-50.0,50,524.634067
-50.0,50,525.971709
-50.0,50,527.263903
-50.0,50,528.664932
-50.0,50,530.232836
-50.0,50,531.77465
-50.0,50,533.25703
-50.0,50,534.831506
-50.0,50,536.205941
-50.0,50,537.589796
-50.0,50,539.115878
-50.0,50,540.615612
-50.0,50,541.989064
-50.0,50,543.395684
-50.0,50,544.897599
-50.0,50,546.396745
-50.0,50,547.834916
-50.0,50,549.335674
-50.0,50,550.600748
-50.0,50,552.023091
-50.0,50,553.372906
-50.0,50,554.912253
-50.0,50,556.356436
-50.0,50,558.074609
-50.0,50,559.64366
-50.0,50,560.887003
-50.0,50,562.339136
-50.0,50,563.774811
-50.0,50,565.147622
-50.0,50,566.62078
-50.0,50,568.102533
-50.0,50,569.752246
-50.0,50,571.094242
-50.0,50,572.627826
-50.0,50,573.930093
-50.0,50,575.257104
-50.0,50,577.030511
-50.0,50,578.566563
-50.0,50,580.149765
-50.0,50,581.390961
-50.0,50,583.103249
-50.0,50,584.780806
-50.0,50,586.429183
-50.0,50,588.082229
-50.0,50,589.409667
-12.0,13,589.797179
-50.0,50,591.419988
-50.0,50,592.93064
-50.0,50,594.695959
-50.0,50,596.24917
-50.0,50,597.790312
-50.0,50,599.443256
-50.0,50,601.171582
-50.0,50,603.673083
-50.0,50,605.723424
-50.0,50,607.506526
-50.0,50,609.281044
-12.0,13,609.575426
-50.0,50,626.327045
-50.0,50,627.972156
-50.0,50,629.601282
-50.0,50,631.058126
-50.0,50,632.478775
-50.0,50,633.803487
-50.0,50,635.055465
-50.0,50,636.398748
-50.0,50,637.701193
-50.0,50,639.123129
-50.0,50,640.618571
-50.0,50,641.985979
-50.0,50,643.41204
-50.0,50,644.800318
-50.0,50,646.206158
-50.0,50,647.458857
-50.0,50,648.990508
-50.0,50,650.458858
-50.0,50,652.154856
-50.0,50,653.559014
-50.0,50,654.932819
-50.0,50,656.236888
-50.0,50,657.677179
-50.0,50,659.189532
-50.0,50,660.751748
-50.0,50,662.353916
-50.0,50,663.845657
-50.0,50,665.19106
-50.0,50,666.64257
-50.0,50,668.108818
-50.0,50,669.667365
-50.0,50,671.043657
-50.0,50,672.582574
-50.0,50,673.856442
-50.0,50,675.295253
-50.0,50,677.025832
0.0,1,677.061533
-50.0,50,678.427553
-50.0,50,679.872065
-50.0,50,681.18734
-50.0,50,682.527612
-50.0,50,683.856615
-50.0,50,685.287088
-50.0,50,686.842417
-50.0,50,688.395952
-50.0,50,690.103321
-50.0,50,691.61339
-50.0,50,693.155924
-50.0,50,694.609165
-50.0,50,696.280194
-50.0,50,697.776395
-50.0,50,699.203907
-50.0,50,700.699038
-50.0,50,702.109293
-50.0,50,703.529737
-50.0,50,705.092733
-50.0,50,706.606645
-50.0,50,708.023494
-50.0,50,709.580158
-50.0,50,710.982552
-50.0,50,712.295867
-9.0,10,712.581511
-50.0,50,714.06537
-50.0,50,715.453377
-50.0,50,717.062038
-50.0,50,718.507625
-50.0,50,719.966972
-50.0,50,721.383209
-50.0,50,722.903344
-50.0,50,724.368786
-50.0,50,725.771556
-50.0,50,727.244281
-50.0,50,728.692575
-50.0,50,730.142511
-50.0,50,731.697713
-50.0,50,733.17898
-50.0,50,734.504254
-50.0,50,735.950766
-50.0,50,737.449738
0.0,1,737.478931
-50.0,50,738.961645
-50.0,50,740.565266
-50.0,50,741.970628
-50.0,50,743.590789
-50.0,50,745.015715
-50.0,50,761.924361
-50.0,50,763.251477
-50.0,50,764.623475
-50.0,50,765.986399
-50.0,50,767.331409
-50.0,50,768.770734
-50.0,50,770.11336
-50.0,50,771.640256
-50.0,50,773.046467
-50.0,50,774.394493
-50.0,50,775.729978
-50.0,50,777.43514
-50.0,50,778.779397
-50.0,50,780.227338
-50.0,50,781.536243
-50.0,50,782.921229
-50.0,50,784.46222
-50.0,50,786.075542
0.0,1,786.106633
-50.0,50,787.441082
-50.0,50,788.892825
-50.0,50,790.372039
-50.0,50,791.874258
-50.0,50,793.353004
-50.0,50,794.890045
-50.0,50,796.219453
-50.0,50,797.854107
-50.0,50,799.418172
-50.0,50,800.697517
-50.0,50,802.14664
-50.0,50,803.744056
-50.0,50,805.069387
-50.0,50,806.376998
-50.0,50,807.712673
-50.0,50,809.209158
-50.0,50,810.642951
-50.0,50,812.089303
-50.0,50,813.503549
-50.0,50,814.714069
-50.0,50,816.195542
-50.0,50,817.646888
-50.0,50,818.959402
-50.0,50,820.404293
-50.0,50,821.849983
-50.0,50,823.239618
-50.0,50,824.714711
-50.0,50,826.254027
-50.0,50,827.582137
-50.0,50,828.990603
-50.0,50,830.426324
-50.0,50,831.891649
-50.0,50,833.233688
-50.0,50,834.842781
-50.0,50,836.488713
-50.0,50,838.028766
-50.0,50,839.449835
-50.0,50,840.783624
-50.0,50,842.361879
-50.0,50,843.640887
-50.0,50,845.00432
-50.0,50,846.489465
-50.0,50,847.854007
-50.0,50,849.225829
-50.0,50,850.735738
-50.0,50,852.363836
-50.0,50,854.03137
-50.0,50,855.620431
-50.0,50,857.157232
-50.0,50,858.736322
-50.0,50,860.319784
-50.0,50,861.674774
-50.0,50,863.025981
-50.0,50,864.497162
-50.0,50,865.917893
-50.0,50,867.50173
-50.0,50,869.246389
-50.0,50,870.626334
-50.0,50,871.922737
-50.0,50,873.460626
-50.0,50,874.876823
-50.0,50,876.285192
-50.0,50,877.600359
-50.0,50,878.978173
-50.0,50,895.56569
-50.0,50,896.9855
-50.0,50,898.434932
-50.0,50,899.808784
-50.0,50,901.174769
-50.0,50,902.441727
-50.0,50,903.856874
-50.0,50,905.366305
-50.0,50,906.78964
