#{"t_start": 1634647794.6164875, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
10.054722,50,0.924568
9.007699,50,1.3634
8.796403,50,1.7774
9.689987,50,2.193583
11.712857,50,2.640326
11.460424,50,3.048665
8.753457,50,3.540347
10.300283,50,4.025254
11.532815,50,4.619068
10.442706,50,5.320669
10.650498,50,6.071547
6.718005,50,6.863293
11.399875,50,7.762217
10.05937,50,8.611529
9.906002,50,9.491985
9.117488,50,10.499743
10.674108,50,11.437791
10.736074,50,12.426673
11.468353,50,13.532937
8.863597,50,14.567263
10.494845,50,15.605907
9.432784,50,16.631743
10.01726,50,17.660105
10.728187,50,18.558233
11.635273,50,19.350531
11.050233,50,20.167443
10.310634,50,20.89929
10.738294,50,21.674115
8.279403,50,22.451452
9.40864,50,23.24427
11.106834,50,24.039419
10.147396,50,24.949802
10.048246,50,25.918266
10.32495,50,26.919466
11.17441,50,27.897998
8.66434,50,28.977179
10.749536,50,30.089735
10.080758,50,31.151886
10.841357,50,32.284045
10.870855,50,33.358528
12.03772,50,34.384636
10.66584,50,35.479552
9.252034,50,36.525244
9.989136,50,37.593633
11.662424,50,38.708777
11.165006,50,39.793942
10.821662,50,40.916488
9.515773,50,42.00298
11.477195,50,43.160505
9.41934,50,44.318251
10.77324,50,45.454971
9.152207,50,46.558262
10.912343,50,47.635251
11.507183,50,48.676936
11.185989,50,49.676904
11.817606,50,50.782447
10.776013,50,51.893503
9.691507,50,53.084286
10.028522,50,54.199275
10.83402,50,55.174046
10.915467,50,56.164944
10.869436,50,57.164805
10.544668,50,58.304525
8.985061,50,59.401941
9.765927,50,60.444674
10.301868,50,61.568126
9.648739,50,62.673635
10.930843,50,63.737559
12.036381,50,64.895122
9.541826,50,66.061293
10.652821,50,67.236695
10.765028,50,68.313743
10.500693,50,69.332393
9.788848,50,70.453833
10.475922,50,71.622787
11.743344,50,72.709456
9.75993,50,73.819867
11.611967,50,74.940849
10.348743,50,76.092542
11.054583,50,77.252617
