#{"t_start": 1634652094.6063528, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
-50.0,50,0.813463
-50.0,50,1.319467
-50.0,50,1.896085
-50.0,50,2.447692
-50.0,50,3.094844
-50.0,50,3.789691
-50.0,50,4.598693
-50.0,50,5.3864
0.0,1,5.421674
-50.0,50,6.287116
-25.0,26,6.709678
-50.0,50,7.509684
-50.0,50,8.388657
-50.0,50,9.268303
-50.0,50,10.210042
-50.0,50,11.111834
-50.0,50,12.06177
-50.0,50,13.023355
-50.0,50,13.980391
-50.0,50,14.990139
-50.0,50,16.039922
-50.0,50,17.209893
-50.0,50,18.247319
-50.0,50,19.391619
-50.0,50,20.611638
-50.0,50,21.744819
-50.0,50,22.956035
-50.0,50,23.966439
-50.0,50,25.169865
-50.0,50,26.178822
-50.0,50,27.237408
-50.0,50,28.199605
-50.0,50,29.196421
-50.0,50,30.12126
-50.0,50,31.055434
-50.0,50,32.245756
-50.0,50,33.314429
-50.0,50,34.578209
-50.0,50,35.641226
-50.0,50,36.716164
-50.0,50,37.770775
-50.0,50,38.86342
-50.0,50,39.819374
-50.0,50,40.780366
-50.0,50,41.749032
-50.0,50,42.73597
-50.0,50,43.729996
-50.0,50,44.685455
-50.0,50,45.656564
-50.0,50,46.712852
-50.0,50,47.840513
-50.0,50,49.160529
-50.0,50,50.230681
-50.0,50,51.508602
-50.0,50,53.030357
-50.0,50,55.30733
-50.0,50,56.402813
-50.0,50,57.472548
-50.0,50,58.558128
-50.0,50,59.655914
-50.0,50,60.772621
-50.0,50,61.916654
-50.0,50,62.938516
0.0,1,62.964185
-50.0,50,64.025626
-50.0,50,64.996175
-50.0,50,66.0135
-50.0,50,67.242831
-50.0,50,68.454651
-50.0,50,69.49434
-50.0,50,70.576857
-50.0,50,71.583137
-50.0,50,72.602883
-50.0,50,73.596749
-50.0,50,74.622794
-50.0,50,75.585811
-50.0,50,76.935741
-50.0,50,78.169068
-50.0,50,79.255053
-50.0,50,80.424109
-50.0,50,81.536551
-50.0,50,82.610521
-50.0,50,83.717017
-50.0,50,85.648562
-50.0,50,107.185666
-50.0,50,108.616288
-50.0,50,109.867674
-50.0,50,111.252524
-50.0,50,112.820501
-50.0,50,114.33756
-50.0,50,115.551594
-50.0,50,117.038672
-50.0,50,118.624082
-50.0,50,120.174771
-50.0,50,121.559341
-50.0,50,123.193166
-50.0,50,124.768312
-50.0,50,126.039527
-50.0,50,127.476093
-50.0,50,128.846879
-50.0,50,130.103489
-50.0,50,131.551539
-50.0,50,132.777626
-50.0,50,133.852405
-50.0,50,135.069681
-50.0,50,136.417785
-50.0,50,137.886986
-50.0,50,139.218301
-50.0,50,140.386464
-50.0,50,141.504286
-50.0,50,142.873343
-15.0,16,143.386562
-50.0,50,144.692181
-50.0,50,146.000667
-50.0,50,147.424246
-50.0,50,148.68412
-50.0,50,149.940132
-50.0,50,151.44511
-50.0,50,152.842332
-50.0,50,153.988918
-50.0,50,155.145998
-50.0,50,156.368601
-50.0,50,157.894836
-50.0,50,159.353467
-50.0,50,160.999087
-50.0,50,162.215507
-50.0,50,163.353642
-50.0,50,164.66399
-50.0,50,165.937102
-50.0,50,167.101962
-50.0,50,168.279128
-50.0,50,169.729137
-50.0,50,170.938472
-50.0,50,172.390251
-50.0,50,173.940206
-50.0,50,175.10698
-50.0,50,176.32852
-50.0,50,177.570126
-50.0,50,178.650303
-50.0,50,179.831789
-50.0,50,181.05083
-50.0,50,182.322536
-50.0,50,183.610312
-50.0,50,184.779157
-50.0,50,186.06815
-50.0,50,187.374303
-50.0,50,188.552219
-50.0,50,189.788983
-50.0,50,190.954209
-50.0,50,192.02588
-50.0,50,193.266016
-50.0,50,194.461086
-50.0,50,195.733204
-50.0,50,196.857163
-50.0,50,198.277887
-50.0,50,199.397873
-50.0,50,200.70541
-50.0,50,202.049483
-50.0,50,203.603258
-50.0,50,204.909076
-50.0,50,206.088051
-50.0,50,207.458397
-50.0,50,208.609575
-50.0,50,209.696756
0.0,1,209.716655
-50.0,50,210.924709
-50.0,50,212.232611
-50.0,50,232.358777
-50.0,50,233.777795
-50.0,50,235.075603
-50.0,50,236.170115
-50.0,50,237.567113
-50.0,50,238.664709
-50.0,50,240.281704
