#{"t_start": 1635082921.9119027, "env_id": "NaivePickAndPlace-v0"}
r,l,t
5.94249,23,0.480127
1.220956,50,0.662419
8.574803,50,0.842934
5.826457,50,1.019681
2.932856,50,1.212288
3.973863,50,1.392608
5.207897,50,1.566576
30.952213,50,1.748752
1.30564,50,1.92654
30.058109,50,2.08681
1.148938,50,2.256111
22.005036,50,2.432976
10.747023,17,2.491887
3.36505,50,2.662493
4.749972,50,2.832057
0.358504,50,3.012808
1.484732,50,3.177463
18.332536,50,3.365423
0.040127,50,3.530029
21.606935,33,3.659593
2.753932,50,3.84782
3.467446,50,4.027593
26.463451,50,4.21344
2.421276,50,4.411201
1.215148,50,4.592433
0.001415,1,4.595947
1.854667,50,4.799995
1.712682,50,5.018527
14.811513,50,5.22386
8.019715,50,5.481679
4.459248,50,5.719448
9.577386,15,5.82302
16.5953,50,6.092948
5.078125,50,6.382011
2.027386,50,6.653116
6.843826,50,7.008018
0.42764,50,7.29147
0.863738,50,7.584453
0.645088,50,7.898345
1.384911,50,8.224771
10.927003,50,8.532326
23.986973,50,8.839438
4.108058,50,9.158803
0.738377,50,9.459593
13.49209,50,9.780921
11.818058,50,10.164896
0.716628,50,10.504702
1.146154,50,10.849092
0.104771,50,11.210374
0.096167,50,11.559925
1.097141,50,11.921984
0.474655,50,12.318372
0.082456,50,12.685035
2.080636,50,13.062353
0.275436,50,13.423752
26.661757,50,13.769545
0.339008,50,14.148076
0.792247,50,14.544328
5.550057,50,14.940626
3.438595,50,15.390159
0.960831,50,15.783855
1.1509,50,16.213552
6.122769,50,16.625441
20.581865,50,17.02488
0.583938,50,17.460889
0.133265,50,17.87971
26.981851,50,18.274293
4.070214,50,18.722913
1.832541,50,19.121402
3.894357,50,19.552463
0.330293,50,19.961536
1.180057,50,20.370368
17.124634,50,20.78501
5.034241,50,21.190012
2.033342,50,21.606431
4.897104,50,22.014177
23.127179,50,22.413731
1.797449,50,22.867557
0.98258,50,23.309204
3.351369,50,23.745538
2.080858,50,24.175176
0.406709,50,24.594121
0.276425,50,25.045491
27.761415,50,25.48185
0.735172,50,25.93266
2.076335,50,45.418088
19.529604,50,45.860556
4.669488,50,46.27584
0.202747,50,46.707767
5.891707,50,47.150803
0.687098,50,47.603057
7.025657,50,48.019478
20.986163,50,48.475994
2.165503,50,48.889257
10.514211,50,49.330045
23.123651,50,49.748873
