#{"t_start": 1635735675.65945, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
0.0,1,3.261137
-50.0,50,4.063486
-50.0,50,4.833124
-50.0,50,5.684911
-50.0,50,6.511871
-50.0,50,7.623649
-50.0,50,8.76483
-4.0,5,8.968218
0.0,1,9.004719
0.0,1,9.035359
-50.0,50,10.36813
-50.0,50,11.783767
-50.0,50,13.383049
-50.0,50,15.131954
-50.0,50,17.126102
-50.0,50,19.314008
-50.0,50,21.066413
-50.0,50,22.773548
-50.0,50,24.548165
-50.0,50,26.340929
-50.0,50,28.003162
-50.0,50,29.783699
-50.0,50,31.520258
-50.0,50,33.261201
0.0,1,33.302796
-50.0,50,35.238311
-50.0,50,36.829373
-50.0,50,38.628702
0.0,1,38.665582
-50.0,50,40.56792
-50.0,50,42.331139
-50.0,50,44.286593
-50.0,50,46.191824
-50.0,50,48.200703
0.0,1,48.244126
0.0,1,48.306186
-50.0,50,49.892447
0.0,1,49.936057
-50.0,50,51.639624
-50.0,50,53.601662
-50.0,50,55.331338
-50.0,50,57.241611
-50.0,50,59.063879
-50.0,50,60.7966
-50.0,50,62.686867
-50.0,50,64.544428
-50.0,50,66.576258
-50.0,50,68.474997
-50.0,50,70.370817
-50.0,50,72.318852
-50.0,50,74.318801
-50.0,50,76.134458
-50.0,50,78.018231
-1.0,2,78.088569
-50.0,50,79.946982
-50.0,50,82.020813
-50.0,50,83.924174
-12.0,13,84.4142
-50.0,50,86.321681
-50.0,50,88.197791
-50.0,50,90.217546
-50.0,50,92.323694
-50.0,50,94.249481
-50.0,50,96.005407
-50.0,50,97.744838
-50.0,50,99.434851
-50.0,50,101.11947
-50.0,50,102.955739
-50.0,50,104.81889
-50.0,50,106.598066
-50.0,50,108.396715
-50.0,50,110.037238
0.0,1,110.070545
-50.0,50,111.895763
-50.0,50,113.835346
-50.0,50,115.707197
-50.0,50,117.751841
-50.0,50,119.689101
-50.0,50,121.589981
-50.0,50,123.35948
-50.0,50,125.21791
-2.0,3,125.350747
-50.0,50,127.359941
