#{"t_start": 1634627120.1694055, "env_id": "XarmPDPickAndPlace-v1"}
r,l,t
10.534103,50,6.013616
11.507693,50,12.8075
10.495411,50,19.518538
9.0533,50,26.373228
10.545231,50,33.221861
10.95755,50,39.992684
11.276804,50,46.794126
9.93677,50,53.583449
10.663857,50,60.344619
11.498248,50,67.086799
11.741928,50,73.844937
10.610759,50,80.640062
10.331944,50,87.40659
11.460786,50,94.229349
11.532737,50,100.98779
9.601677,50,107.824822
10.241766,50,114.571184
11.098581,50,121.377247
10.11001,50,128.144447
11.495232,50,134.987561
10.711053,50,141.753373
10.665253,50,148.512843
11.87577,50,155.289512
10.690648,50,162.071991
11.712336,50,168.864716
10.142443,50,175.688229
10.893537,50,182.481946
11.730254,50,189.288764
11.48232,50,196.046759
11.839388,50,202.85148
11.465422,50,209.711442
12.10231,50,216.477786
10.90651,50,223.291687
10.86872,50,230.059038
10.911998,50,236.852234
10.895367,50,243.65609
10.881041,50,250.414038
10.385781,50,257.189114
11.23306,50,263.915258
11.806722,50,270.719995
11.003155,50,277.546571
11.21136,50,284.286974
11.340647,50,291.068562
11.632206,50,297.840478
10.647763,50,304.625567
11.940362,50,311.426042
11.630517,50,318.196809
11.507809,50,324.942802
11.100949,50,331.74417
12.166833,50,338.474893
10.985615,50,345.229432
11.599994,50,351.992531
11.857084,50,358.816263
11.646875,50,365.583071
10.230625,50,372.392441
11.356676,50,379.157242
11.486043,50,385.940398
11.1084,50,392.621957
11.490803,50,399.401359
11.536936,50,406.358654
11.342546,50,413.218249
11.307883,50,420.047781
11.45805,50,426.840806
11.752947,50,433.604021
12.262655,50,440.350842
11.094256,50,447.124965
11.62485,50,453.918371
11.434173,50,460.645977
11.310365,50,467.405449
11.303283,50,474.240688
11.483131,50,481.057672
12.123579,50,487.853961
11.523702,50,494.608021
12.175563,50,501.405797
11.944877,50,508.172478
11.143092,50,514.949714
12.105281,50,521.677329
11.658628,50,528.511787
12.064064,50,535.290923
11.37511,50,542.037516
11.073306,50,548.780533
12.16096,50,555.546432
11.604104,50,562.212868
11.201231,50,568.985227
11.005429,50,575.760819
12.091252,50,582.546769
12.119908,50,589.329489
11.587593,50,596.14529
11.596121,50,602.985523
11.448444,50,609.739409
9.430044,50,616.57631
10.895122,50,623.373801
11.579723,50,630.198037
10.756581,50,636.973922
11.483938,50,643.754433
11.444323,50,650.576682
10.382191,50,657.265676
10.947686,50,664.00502
11.665582,50,670.797452
12.252888,50,677.549618
12.128755,50,684.30624
11.929993,50,691.037954
11.659272,50,697.79019
9.905829,50,704.550208
11.621243,50,711.318823
11.296838,50,718.091177
11.865138,50,724.767972
11.943971,50,731.566703
12.097977,50,738.323862
11.591228,50,745.034285
11.724984,50,751.805827
12.120389,50,758.54354
11.402163,50,765.30297
11.458951,50,772.06272
11.549941,50,778.714122
11.763528,50,785.417218
11.820698,50,792.147796
11.911995,50,798.866246
9.921614,50,805.635941
11.554342,50,812.441867
10.76059,50,819.196839
11.575951,50,825.937476
11.896363,50,832.689746
11.205916,50,839.398039
10.962988,50,846.219911
11.713396,50,852.977733
11.869746,50,859.799306
11.648299,50,866.577899
10.350716,50,873.357718
11.799463,50,880.133389
11.341236,50,886.898007
11.811757,50,893.645001
11.368283,50,900.38211
11.522521,50,907.150291
11.974244,50,913.800333
11.389719,50,920.661456
10.484067,50,927.452209
11.019689,50,934.283027
11.687264,50,941.124156
9.918229,50,947.937211
11.1845,50,954.781174
11.709166,50,961.603551
11.125874,50,968.375544
11.513483,50,975.162298
11.649571,50,981.922694
12.0437,50,988.677068
11.669355,50,995.458528
11.099686,50,1002.227357
10.195371,50,1009.16963
11.070481,50,1015.896562
11.793197,50,1022.798615
9.943034,50,1029.548439
11.864407,50,1036.384909
11.549826,50,1043.120338
11.783412,50,1049.83383
11.79746,50,1056.611999
11.550783,50,1063.358092
10.745137,50,1070.090371
11.954562,50,1076.798872
11.675483,50,1083.558128
11.897669,50,1090.333195
11.378024,50,1097.03579
11.306517,50,1103.800493
11.67701,50,1110.559983
11.700992,50,1117.394978
